utterance,intent,intent1
advance next credit certification level finishing existing level recently promoted,training.must_i_complete_my_curriculum_after_promotion,477
amend existing cm contract,cwms.assignment_amendments_in_cwms,19
amend 1bank login id,onboarding.can_i_change_my_1bank_id,204
amend ordo investment portfolio anytime,payroll.can_i_change_my_orso_investment_fund_choices,220
amend pf year,payroll.vpf_contribution,270
amend pension choice,payroll.can_i_change_from_mpf_scheme_to_orso_scheme,219
amend fund plan,payroll.can_i_change_from_mpf_scheme_to_orso_scheme,219
amend retirement plan,payroll.can_i_change_from_mpf_scheme_to_orso_scheme,219
amend investment declaration anytime,payroll.how_to_submit_my_investment_declaration,241
apply back dated leave,leave.can_i_apply_back_dated_leave,137
apply credit card,iprivileges.personal_credit_cards_application,116
apply dependent pas kid,standard_letter_request.how_can_i_apply_for_dependant_pass,436
apply guest,talent_management.eligibility_for_be_my_guest_program,439
apply esp,training.gesp_eligibility,461
apply hip programme,hipo_management.who_is_a_dbs_high_potential,61
apply high potential programme,hipo_management.who_is_a_dbs_high_potential,61
apply assist loan brother child,iprivileges.further_assist_loan_for_employees_children,108
apply leave,leave.can_i_take_leave,140
apply ml,leave.can_i_take_leave,140
apply overtime allowance,payroll.who_can_claim_ot,284
apply overtime meal allowance,payroll.meal_claim,253
apply prolong illness leave,leave.can_i_take_leave,140
apply prolong medical leave,leave.can_i_take_leave,140
apply sabbatical,leave.can_i_take_leave,140
apply staff personal loan,iprivileges.staff_personal_loan,120
apply balance childcare leave entitled joined db,leave.does_dbs_accept_unused_childcare_leave_from_previous_company,145
apply transfer,internal_mobility.internal_mobility_eligibility_criteria,100
apply maternity leave,leave.can_i_take_leave,140
apply ml,leave.can_i_take_leave,140
apply rental reimbursement,payroll.how_to_apply_for_rental_reimbursement_scheme,233
apply shadow leader,talent_management.eligibility_for_be_my_guest_program,439
appoint someone approve cm,cwms.approvals_and_delegation_in_cwms,18
approve staff leave application go,people_hub.how_to_approve_leave_in_people_hub,296
approve transaction block leave,leave.can_i_work_during_block_leave,141
arrange discussion performance via people hub,performance_and_development.request_for_a_performance_discussion_with_my_manager,376
ask enquiry pertaining share platform,shares.what_is_ishares,407
ask possible purchase ikea furniture table stationaries claim flex,iflex.what_can_be_claimed_against_iflex,75
assign give feedback,performance_and_development.getting_feedback_for_performance_review,343
attempt credit risk assessment completing training curriculum,training.can_i_progress_to_the_next_credit_certification_level,448
attend meeting block leave,leave.can_i_work_during_block_leave,141
avail castle hospitalization,medical.what_is_an_e-card,184
avail cash le mediclaim,medical.how_can_i_avail_cashless_hospitalization_benefit,163
exempted db credit certification,training.can_i_be_exempted_from_dbs_credit_certification,447
borrow money bank purchase house,iprivileges.staff_home_loan,118
bring flex next year,iflex.can_my_iflex_be_carried_forward_to_next_year,64
call client customer block leave,leave.can_i_work_during_block_leave,141
cancel contract decline,cwms.termination_or_cancellation_in_cwms,27
cancel mp enrolment respect ordo,payroll.can_i_change_from_mpf_scheme_to_orso_scheme,219
cancel ordo voluntary contribution,payroll.can_i_change_my_orso_voluntary_contribution_rate,221
cancel skillsflex registration,training.course_withdrawal,453
cancel approved claim,iflex.iflex_claim_resubmission_deletion,72
cancel delegation right people hub,people_hub.how_to_correct_leave_delegation_in_people_hub,302
cancel taxable flex claim replace nontaxable flex claim,iflex.iflex_claim_resubmission_deletion,72
cancel change medical plan,medical.can_i_change_my_medical_insurance_coverage,157
cancel staff interest rate indicator,iprivileges.how_to_apply_for_staff_banking_privileges,109
carry forward 14 day annual leave endash balance,leave.leave_encashment,149
carry forward 10 day leave,leave.can_i_carry_forward_my_leave,139
carry forward annual leave next leave year,leave.can_i_carry_forward_my_leave,139
carry forward flex next year,iflex.can_my_iflex_be_carried_forward_to_next_year,64
carry forward flex next year,iflex.can_my_iflex_be_carried_forward_to_next_year,64
carry forward flex following year,iflex.can_my_iflex_be_carried_forward_to_next_year,64
carry forward public holiday ph lieu,leave.how_do_i_claim_my_public_holiday_off-in-lieu,147
carry forward unused annual leave,leave.can_i_carry_forward_my_leave,139
cascade ki reviewed bos,performance_and_development.cascading_of_goals_by_manager,339
cash mm,payroll.what_is_mmb_and_excess_mmb,273
cash ordo account upon separation,payroll.withdrawal_of_orso_vested_benefits,287
cash ordo upon retirement,payroll.withdrawal_of_orso_vested_benefits,287
change mp investment choice anytime,payroll.how_to_change_my_mpf_investment_fund_choices,236
change 1bank id,onboarding.can_i_change_my_1bank_id,204
change mp investment fund choice,payroll.how_to_change_my_mpf_investment_fund_choices,236
change medical insurance coverage,medical.can_i_change_my_medical_insurance_coverage,157
change monthly flex pay entitlement,payroll.how_to_avail_flexi_pay_plan,234
change ordo vc percentage,payroll.can_i_change_my_orso_voluntary_contribution_rate,221
change ordo contribution rate,payroll.can_i_change_my_orso_voluntary_contribution_rate,221
change ordo investment allocation,payroll.can_i_change_my_orso_investment_fund_choices,220
change ordo investment fund choice online,payroll.can_i_change_my_orso_investment_fund_choices,220
change ordo investment fund choice percentage,payroll.can_i_change_my_orso_investment_fund_choices,220
change ordo investment fund choice,payroll.can_i_change_my_orso_investment_fund_choices,220
change ordo investment portfolio,payroll.can_i_change_my_orso_investment_fund_choices,220
change ordo portfolio anytime,payroll.can_i_change_my_orso_investment_fund_choices,220
change ordo voluntary contribution amount,payroll.can_i_change_my_orso_voluntary_contribution_rate,221
change ordo voluntary contribution anytime,payroll.can_i_change_my_orso_voluntary_contribution_rate,221
change ordo voluntary contribution rate,payroll.can_i_change_my_orso_voluntary_contribution_rate,221
change dependent medical insurance coverage,medical.can_i_change_my_medical_insurance_coverage,157
change defendant medical plan,medical.can_i_change_my_medical_insurance_coverage,157
change dependent medical insurance coverage,medical.can_i_change_my_medical_insurance_coverage,157
change dependent medical plan,medical.can_i_change_my_medical_insurance_coverage,157
change insurance cover,medical.can_i_change_my_medical_insurance_coverage,157
change insurance plan,medical.can_i_change_my_medical_insurance_coverage,157
change investment fund ordo online,payroll.can_i_change_my_orso_investment_fund_choices,220
change leave leave,people_hub.how_to_correct_or_cancel_my_leave_in_people_hub,303
change name staff pas,onboarding.new_hire_staff_pass,213
change orientation another date clash meeting,onboarding.reschedule_new_hire_orientation,215
change outlook display name,staff_info_update.i_have_recently_changed_my_name__how_do_i_update_it,414
change pension scheme mp ordo,payroll.can_i_change_from_mpf_scheme_to_orso_scheme,219
change personal info,staff_info_update.personal_info_update,417
change preferred name,staff_info_update.i_have_recently_changed_my_name__how_do_i_update_it,414
change retirement plan mp ordo,payroll.can_i_change_from_mpf_scheme_to_orso_scheme,219
change salary acc job,staff_info_update.how_can_i_change_my_salary_crediting_account,411
change salary crediting account another bank,staff_info_update.how_can_i_change_my_salary_crediting_account,411
change mp investment fund online,payroll.how_to_change_my_mpf_investment_fund_choices,236
change amount via wd portal,payroll.mpf_voluntary_contribution,254
check sign travel package malaysia able claim flex,iflex.what_can_be_claimed_against_iflex,75
check edit completed goal setting see reopen function edit,performance_and_development.how_to_add_or_edit_my_goals,350
check submit tcm claim droplet tcm selection,medical.how_to_submit_medical_claim,171
check notify change address updated residential address yesterday need submit change within 7 calendar day,staff_info_update.update_contact_info_and_address,418
check submit medical claim submit original payment,medical.how_to_submit_medical_claim,171
check went chiropractic shift bone back position claim flex,iflex.what_can_be_claimed_against_iflex,75
check tcm mc recognized,medical.tcm_generic,182
check annual leave volunteer leave considered annual compliance block leave,leave.what_can_be_considered_as_block_leave,153
check health screening cost paid bank claim flex,iflex.health_screening_claim,68
check iflexdbs would actually cover dental procedure like root calling crowning etc,medical.can_i_make_dental_claims,159
check still requirement employee complete certain number training hour year,training.training_hours,487
check pf statement,payroll.how_to_view_my_vpf_contribution,245
check leave balance,leave.can_i_take_leave,140
check db staff renovation loan,iprivileges.staff_renovation_loan,121
check calculate amount flex available use event staff resignation,iflex.can_i_know_what_is_my_iflex_entitlement,62
check one deduction salary slip come eye mmf addfad sid,payroll.what_is_the_cdac_sinda_mbmf_ecf_deduction_in_my_payslip_for,278
check status medical claim pls,medical.medical_claim_status,177
check status medical claim pls submitted,medical.medical_claim_status,177
check status medical claim pls submitted,medical.medical_claim_status,177
check dental benefit year full time staff wisdom tooth extraction ga covered dental benefit surgery,medical.can_i_make_dental_claims,159
check dental benefit year full time staff wisdom tooth extraction covered dental benefit surgery,medical.can_i_make_dental_claims,159
check new share plan many month employment complete order eligible,shares.eligibility_criteria_for_ishares,394
check donation fund indicated payslip id like withdraw contributing eye come addfad eye cdnc addfad go,payroll.i_would_like_to_opt_out_change_the_monthly_contributions_for_cdac_sinda_mbmf_ecf,249
check sale incentive cycle,payroll.variable_sales_incentives,267
check obtain following item singapore citizenship application latest letter employment current employer,standard_letter_request.can_i_request_dbs_to_generate_a_letter_for_singapore_citizenship_application,423
