,utterance,intent,intent1,pred_idx,pred_values,top_p1,top_p2,top_p3,top_class1,top_class2,top_class3,predictions1,predictions2,predictions3
97,contract staff po,cwms.cwf_purchase_order,22,26,cwms.managed_service_or_resource_tracking_in_cwms,0.24192126095294952,0.19113461673259735,0.08937536925077438,26,29,23,cwms.managed_service_or_resource_tracking_in_cwms,cwms.what_is_cwms,cwms.cwf_service_level_agreement
98,when be the office opening in hyderabad,internal_mobility.job_posting_notification_in_dbs_recruiting_hub,102,98,internal_mobility.internal_mobility_application_process,0.06076857075095177,0.04971073940396309,0.04601821303367615,98,102,203,internal_mobility.internal_mobility_application_process,internal_mobility.job_posting_notification_in_dbs_recruiting_hub,onboarding.arrangements_for_new_hire_prior_to_onboarding
99,when be the opening,internal_mobility.internal_mobility_application_process,98,214,onboarding.onboarding,0.06290631741285324,0.05145854502916336,0.029758350923657417,214,203,95,onboarding.onboarding,onboarding.arrangements_for_new_hire_prior_to_onboarding,internal_mobility.how_to_save_jobs_in_dbs_recruiting_hub
100,who be nit in,onboarding.onboarding,214,212,onboarding.new_hire_profile,0.04408912733197212,0.029013006016612053,0.026599746197462082,212,312,318,onboarding.new_hire_profile,people_hub.how_to_update_contact_info_in_people_hub,people_hub.how_to_update_national_id_or_government_id_in_people_hub
101,hr circular on carry forward annual leave,leave.can_i_carry_forward_my_leave,139,139,leave.can_i_carry_forward_my_leave,0.9152970910072327,0.016800181940197945,0.01546514593064785,139,329,149,leave.can_i_carry_forward_my_leave,people_hub.what_is_my_leave_balance,leave.leave_encashment
102,who be the head of payments / collections via giro,standard_letter_request.dbs_letterhead_and_dbs_company_stamp,433,123,iprivileges.waiver_for_non-salary_crediting_account,0.2087346464395523,0.12137310951948166,0.043214477598667145,123,410,109,iprivileges.waiver_for_non-salary_crediting_account,staff_info_update.how_can_i_change_my_salary_crediting_account,iprivileges.how_to_apply_for_staff_banking_privileges
103,staff home loan,iprivileges.staff_home_loan,118,118,iprivileges.staff_home_loan,0.9177717566490173,0.004733269102871418,0.0025771583896130323,118,271,117,iprivileges.staff_home_loan,payroll.what_is_car_lease_scheme,iprivileges.staff_car_loan
104,do i need to fill time sheet,cwms.timesheet_and_invoicing_matters_in_cwms,28,28,cwms.timesheet_and_invoicing_matters_in_cwms,0.7610536217689514,0.012461896985769272,0.009629917331039906,28,338,334,cwms.timesheet_and_invoicing_matters_in_cwms,performance_and_development.cannot_submit_year-end_review_by_deadline,performance_and_development.can_managers_amend_YER_after_deadline
105,what be pt,compensation.how_is_salary_increase_budget_determined,6,254,payroll.mpf_voluntary_contribution,0.02557878941297531,0.017371216788887978,0.01650724746286869,254,285,219,payroll.mpf_voluntary_contribution,payroll.who_is_eligible_under_mpf_scheme,payroll.can_i_change_from_mpf_scheme_to_orso_scheme
106,what be the system access i have,performance_and_development.why_is_a_development_plan_important,389,216,onboarding.when_will_the_new_hire_1bank_id_be_ready,0.4833317995071411,0.29052960872650146,0.02159222960472107,216,213,184,onboarding.when_will_the_new_hire_1bank_id_be_ready,onboarding.new_hire_staff_pass,medical.what_is_an_e-card
107,corporate card,iprivileges.corporate_credit_card,104,104,iprivileges.corporate_credit_card,0.4619482159614563,0.15435948967933655,0.06175074353814125,104,184,116,iprivileges.corporate_credit_card,medical.what_is_an_e-card,iprivileges.personal_credit_cards_application
108,how can new hire complete their pd,performance_and_development.how_can_new_hires_complete_their_pd,347,347,performance_and_development.how_can_new_hires_complete_their_pd,0.8138861060142517,0.00801472831517458,0.005389055237174034,347,367,214,performance_and_development.how_can_new_hires_complete_their_pd,performance_and_development.manager_evaluation_for_new_hire_and_transfer_case,onboarding.onboarding
109,manager on long leave and approval of pd,performance_and_development.manager_on_long_leave_and_approval_of_pd,368,368,performance_and_development.manager_on_long_leave_and_approval_of_pd,0.7876873016357422,0.028421297669410706,0.0073832119815051556,368,141,379,performance_and_development.manager_on_long_leave_and_approval_of_pd,leave.can_i_work_during_block_leave,performance_and_development.staff_cannot_complete_goal-setting_by_deadline
110,annual leave carry forward,leave.can_i_carry_forward_my_leave,139,139,leave.can_i_carry_forward_my_leave,0.9418444037437439,0.009870043955743313,0.004054257646203041,139,329,149,leave.can_i_carry_forward_my_leave,people_hub.what_is_my_leave_balance,leave.leave_encashment
111,view submit pd,performance_and_development.how_to_retrieve_my_submitted_pd_document,358,358,performance_and_development.how_to_retrieve_my_submitted_pd_document,0.7413301467895508,0.03785522282123566,0.018450375646352768,358,386,356,performance_and_development.how_to_retrieve_my_submitted_pd_document,performance_and_development.where_can_we_view_our_past_years_goals,performance_and_development.how_to_manually_retrieve_the_yer
112,approve goal,performance_and_development.how_to_review_and_approve_goals_in_people_hub,360,360,performance_and_development.how_to_review_and_approve_goals_in_people_hub,0.33699852228164673,0.05450763180851936,0.036853425204753876,360,18,361,performance_and_development.how_to_review_and_approve_goals_in_people_hub,cwms.approvals_and_delegation_in_cwms,performance_and_development.how_to_send_back_goals_to_my_staff
113,what be a balanced scorecard,performance_and_development.what_is_a_balanced_scorecard,382,382,performance_and_development.what_is_a_balanced_scorecard,0.5712243914604187,0.04481954127550125,0.02611311711370945,382,351,14,performance_and_development.what_is_a_balanced_scorecard,performance_and_development.how_to_align_my_goals_to_the_balanced_scorecard,compensation.what_is_dbs_rewards_philosophy
114,goal set process,performance_and_development.goal_setting_process,344,344,performance_and_development.goal_setting_process,0.5172675251960754,0.23332545161247253,0.050971467047929764,344,350,381,performance_and_development.goal_setting_process,performance_and_development.how_to_add_or_edit_my_goals,performance_and_development.what_constitutes_a_good_goal
115,how to go to beeline,cwms.what_is_cwms,29,29,cwms.what_is_cwms,0.4641437232494354,0.1906127631664276,0.030253691598773003,29,26,21,cwms.what_is_cwms,cwms.managed_service_or_resource_tracking_in_cwms,cwms.cwf_pre_employment_screening
116,report phis,people_hub.how_to_view_org_chart_in_people_hub,322,351,performance_and_development.how_to_align_my_goals_to_the_balanced_scorecard,0.07358315587043762,0.0338369682431221,0.03169283643364906,351,5,106,performance_and_development.how_to_align_my_goals_to_the_balanced_scorecard,compensation.how_does_the_bank_actively_manage_compensation,iprivileges.does_my_account_enjoy_staff_preferential_rates
117,how much portable medical credit,medical.outpatient_medical_credit,180,180,medical.outpatient_medical_credit,0.46056023240089417,0.04453970864415169,0.03365647792816162,180,181,163,medical.outpatient_medical_credit,medical.premium_rates_for_dbs_group_medical_and_life_insurance_benefits,medical.how_can_i_avail_cashless_hospitalization_benefit
118,where bonus,escalation.escalation_cases,32,282,payroll.when_is_our_bonus_credited,0.3103890120983124,0.19013458490371704,0.049812573939561844,282,274,7,payroll.when_is_our_bonus_credited,payroll.what_is_my_bonus_pay_out_computation,compensation.how_is_the_group_and_unit_bonus_pool_determined
119,mortgage,iprivileges.staff_home_loan,118,118,iprivileges.staff_home_loan,0.8771972060203552,0.005398130510002375,0.003226744942367077,118,271,117,iprivileges.staff_home_loan,payroll.what_is_car_lease_scheme,iprivileges.staff_car_loan
120,dbs pride value,compensation.how_to_access_the_year-end_comp_review,8,4,compensation.how_does_the_bank_achieve_market_competitiveness,0.029679404571652412,0.02443297952413559,0.020094910636544228,4,362,385,compensation.how_does_the_bank_achieve_market_competitiveness,performance_and_development.how_to_start_my_pd_year-end_review,performance_and_development.what_is_pd_year-end_review
121,download payslip,payroll.how_to_generate_my_payslip,240,240,payroll.how_to_generate_my_payslip,0.955333948135376,0.006128246430307627,0.002207887126132846,240,283,256,payroll.how_to_generate_my_payslip,payroll.when_will_i_get_my_pay,payroll.ns_make_up_pay
122,bonus credit,payroll.when_is_our_bonus_credited,282,274,payroll.what_is_my_bonus_pay_out_computation,0.37907931208610535,0.14445415139198303,0.06967456638813019,274,282,7,payroll.what_is_my_bonus_pay_out_computation,payroll.when_is_our_bonus_credited,compensation.how_is_the_group_and_unit_bonus_pool_determined
123,please stop,general_benefits.hr_circulars,48,487,training.training_suggestion,0.026188954710960388,0.015431166626513004,0.014182676561176777,487,480,489,training.training_suggestion,training.my_manager_would_like_to_attend_this_training_course__can_i_sign_up_on_his_her_behalf_in_dbs_learning_hub,training.what_is_dbs_learning_hub
124,i would love one bot to be stop,general_benefits.eat_with_your_family,46,350,performance_and_development.how_to_add_or_edit_my_goals,0.04870280995965004,0.031787075102329254,0.023749280720949173,350,51,336,performance_and_development.how_to_add_or_edit_my_goals,general_benefits.who_is_my_hr_rm,performance_and_development.can_managers_initiate_ogr_for_their_direct_reports
125,iflex claim,iflex.i_want_to_know_more_about_iflex,70,69,iflex.how_to_submit_iflex_claim,0.7883118987083435,0.06347627937793732,0.034461166709661484,69,75,73,iflex.how_to_submit_iflex_claim,iflex.what_can_be_claimed_against_iflex,iflex.iflex_issues
126,one bot team,people_hub.how_to_view_org_chart_in_people_hub,322,86,ihealth.how_to_join_a_team_program,0.28410089015960693,0.038141511380672455,0.03315367177128792,86,77,26,ihealth.how_to_join_a_team_program,ihealth.can_i_join_the_team_program_midway,cwms.managed_service_or_resource_tracking_in_cwms
127,id change,people_hub.how_to_update_national_id_or_government_id_in_people_hub,318,318,people_hub.how_to_update_national_id_or_government_id_in_people_hub,0.6270003914833069,0.05993141233921051,0.024865422397851944,318,417,204,people_hub.how_to_update_national_id_or_government_id_in_people_hub,staff_info_update.update_contact_info_and_address,onboarding.can_i_change_my_1bank_id
128,bonus credit,payroll.when_is_our_bonus_credited,282,274,payroll.what_is_my_bonus_pay_out_computation,0.37907931208610535,0.14445415139198303,0.06967456638813019,274,282,7,payroll.what_is_my_bonus_pay_out_computation,payroll.when_is_our_bonus_credited,compensation.how_is_the_group_and_unit_bonus_pool_determined
129,home loan eligibility,iprivileges.staff_home_loan,118,118,iprivileges.staff_home_loan,0.9141317009925842,0.004599236883223057,0.0024874883238226175,118,271,117,iprivileges.staff_home_loan,payroll.what_is_car_lease_scheme,iprivileges.staff_car_loan
130,internal opportunity,internal_mobility.internal_mobility,97,98,internal_mobility.internal_mobility_application_process,0.6498070955276489,0.05490928888320923,0.03255617246031761,98,100,97,internal_mobility.internal_mobility_application_process,internal_mobility.internal_mobility_eligibility_criteria,internal_mobility.internal_mobility
131,dbs home loan,iprivileges.staff_home_loan,118,118,iprivileges.staff_home_loan,0.9203272461891174,0.004557199310511351,0.0026383409276604652,118,271,117,iprivileges.staff_home_loan,payroll.what_is_car_lease_scheme,iprivileges.staff_car_loan
132,home loan assessment,iprivileges.staff_home_loan,118,118,iprivileges.staff_home_loan,0.9212669134140015,0.004216793458908796,0.002392911585047841,118,271,117,iprivileges.staff_home_loan,payroll.what_is_car_lease_scheme,iprivileges.staff_car_loan
133,singapore holiday,leave.list_of_public_holidays,152,152,leave.list_of_public_holidays,0.9503048658370972,0.0075519634410738945,0.0036592010874301195,152,147,47,leave.list_of_public_holidays,leave.how_do_i_claim_my_public_holiday_off-in-lieu,general_benefits.festive_early_release
134,stagger report accord to staff i would,people_hub.how_to_view_org_chart_in_people_hub,322,353,performance_and_development.how_to_complete_manager_yer_evaluation,0.12287726998329163,0.05656163766980171,0.054061613976955414,353,377,10,performance_and_development.how_to_complete_manager_yer_evaluation,performance_and_development.request_for_hr_intervention_during_pdr,compensation.how_to_view_my_team_compensation_eletters
135,stagger working hour,escalation.escalation_cases,32,32,escalation.escalation_cases,0.1476174145936966,0.03386884555220604,0.03353213146328926,32,47,295,escalation.escalation_cases,general_benefits.festive_early_release,people_hub.how_to_amend_termination_date
136,new joiner welcome kit,onboarding.arrangements_for_new_hire_prior_to_onboarding,203,203,onboarding.arrangements_for_new_hire_prior_to_onboarding,0.2513319253921509,0.20674552023410797,0.014183000661432743,203,214,202,onboarding.arrangements_for_new_hire_prior_to_onboarding,onboarding.onboarding,offboarding.return_of_staff_pass_and_bank_properties
137,talk,general_benefits.who_is_my_hr_rm,51,443,training.accessing_dbs_learning_hub,0.022969478741288185,0.02088664285838604,0.017875252291560173,443,489,93,training.accessing_dbs_learning_hub,training.what_is_dbs_learning_hub,internal_mobility.developing_my_career_in_dbs
138,internal mail,internal_mobility.internal_mobility_application_process,98,98,internal_mobility.internal_mobility_application_process,0.6681829690933228,0.03660106286406517,0.02227306179702282,98,101,100,internal_mobility.internal_mobility_application_process,internal_mobility.internal_mobility_system_escalation,internal_mobility.internal_mobility_eligibility_criteria
